Sr. No,Circuit Type,Circuit name,No. of transistors,No. of n-type transistor,No. of p-type transistor,Lg, W,D,Input Output Delay
155,Basic gates,OR Gate,6,3,3,3.20E-08,5.00E-07,9.00E-10,5.39E-11
156,Basic gates,OR Gate,6,3,3,3.20E-08,6.00E-07,9.00E-10,6.09E-11
157,Basic gates,OR Gate,6,3,3,3.20E-08,7.00E-07,9.00E-10,6.77E-11
158,Basic gates,OR Gate,6,3,3,3.20E-08,8.00E-07,9.00E-10,7.41E-11
159,Basic gates,OR Gate,6,3,3,3.20E-08,9.00E-07,9.00E-10,8.04E-11
160,Basic gates,OR Gate,6,3,3,3.20E-08,1.00E-06,9.00E-10,8.66E-11
161,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-07,9.00E-10,1.78E-11
162,Basic gates,OR Gate,6,3,3,4.20E-08,2.00E-07,9.00E-10,2.91E-11
163,Basic gates,OR Gate,6,3,3,4.20E-08,3.00E-07,9.00E-10,3.89E-11
164,Basic gates,OR Gate,6,3,3,4.20E-08,4.00E-07,9.00E-10,4.76E-11
165,Basic gates,OR Gate,6,3,3,4.20E-08,5.00E-07,9.00E-10,5.57E-11
166,Basic gates,OR Gate,6,3,3,4.20E-08,6.00E-07,9.00E-10,6.30E-11
167,Basic gates,OR Gate,6,3,3,4.20E-08,7.00E-07,9.00E-10,6.99E-11
168,Basic gates,OR Gate,6,3,3,4.20E-08,8.00E-07,9.00E-10,7.66E-11
169,Basic gates,OR Gate,6,3,3,4.20E-08,9.00E-07,9.00E-10,8.31E-11
170,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-06,9.00E-10,8.97E-11
171,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-07,1.00E-09,1.38E-11
172,Basic gates,OR Gate,6,3,3,4.20E-08,2.00E-07,1.00E-09,2.35E-11
173,Basic gates,OR Gate,6,3,3,4.20E-08,3.00E-07,1.00E-09,3.18E-11
174,Basic gates,OR Gate,6,3,3,4.20E-08,4.00E-07,1.00E-09,3.95E-11
175,Basic gates,OR Gate,6,3,3,4.20E-08,5.00E-07,1.00E-09,4.66E-11
176,Basic gates,OR Gate,6,3,3,4.20E-08,6.00E-07,1.00E-09,5.33E-11
177,Basic gates,OR Gate,6,3,3,4.20E-08,7.00E-07,1.00E-09,5.95E-11
178,Basic gates,OR Gate,6,3,3,4.20E-08,8.00E-07,1.00E-09,6.54E-11
179,Basic gates,OR Gate,6,3,3,4.20E-08,9.00E-07,1.00E-09,7.13E-11
180,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-06,1.00E-09,7.68E-11
181,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-07,1.10E-09,1.11E-11
182,Basic gates,OR Gate,6,3,3,4.20E-08,2.00E-07,1.10E-09,1.96E-11
183,Basic gates,OR Gate,6,3,3,4.20E-08,3.00E-07,1.10E-09,2.70E-11
184,Basic gates,OR Gate,6,3,3,4.20E-08,4.00E-07,1.10E-09,3.37E-11
185,Basic gates,OR Gate,6,3,3,4.20E-08,5.00E-07,1.10E-09,4.00E-11
186,Basic gates,OR Gate,6,3,3,4.20E-08,6.00E-07,1.10E-09,4.60E-11
187,Basic gates,OR Gate,6,3,3,4.20E-08,7.00E-07,1.10E-09,5.17E-11
188,Basic gates,OR Gate,6,3,3,4.20E-08,8.00E-07,1.10E-09,5.73E-11
189,Basic gates,OR Gate,6,3,3,4.20E-08,9.00E-07,1.10E-09,6.25E-11
190,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-06,1.10E-09,6.75E-11
191,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-07,1.20E-09,8.79E-12
192,Basic gates,OR Gate,6,3,3,4.20E-08,2.00E-07,1.20E-09,1.67E-11
193,Basic gates,OR Gate,6,3,3,4.20E-08,3.00E-07,1.20E-09,2.33E-11
194,Basic gates,OR Gate,6,3,3,4.20E-08,4.00E-07,1.20E-09,2.93E-11
195,Basic gates,OR Gate,6,3,3,4.20E-08,5.00E-07,1.20E-09,3.50E-11
196,Basic gates,OR Gate,6,3,3,4.20E-08,6.00E-07,1.20E-09,4.04E-11
197,Basic gates,OR Gate,6,3,3,4.20E-08,7.00E-07,1.20E-09,4.57E-11
198,Basic gates,OR Gate,6,3,3,4.20E-08,8.00E-07,1.20E-09,5.07E-11
199,Basic gates,OR Gate,6,3,3,4.20E-08,9.00E-07,1.20E-09,5.56E-11
200,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-06,1.20E-09,6.02E-11
201,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-07,1.30E-09,6.93E-12
202,Basic gates,OR Gate,6,3,3,4.20E-08,2.00E-07,1.30E-09,1.41E-11
203,Basic gates,OR Gate,6,3,3,4.20E-08,3.00E-07,1.30E-09,2.03E-11
204,Basic gates,OR Gate,6,3,3,4.20E-08,4.00E-07,1.30E-09,2.58E-11
